run_id	num_hits	best_E	best_query	ViralRefSeq_E	ViralRefSeq_ident	ViralRefSeq_aLen.sLen	ViralRefSeq_contigs	ViralRefSeq_subject	ViralRefSeq_taxonomy	date_analyzed	folder
10132-18_R2	1	1.3	NCLDV_ssuRiboReduc	0.000802	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
10392-14_R2	1	0.078	Herpes_POLcore	0.003	76.5	51 / 51	1	NC_037057.1|Dishui lake phycodnavirus 1, complete genome	taxid:2079134|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
10392-14_R2	2	0.24	NCLDV_ssuRiboReduc	3.35e-05	100	51 / 54	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
12586-14_R2	2	0.83	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
12780-13_R2	4	1.3	NCLDV_ssuRiboReduc	0.002	94.1	51 / 51	1	NC_008518.1|Trichoplusia ni ascovirus 2c, complete genome	taxid:328615|Ascovirus|Ascoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
13681-18_R2	2	0.14	NCLDV_ssuRiboReduc	8.68e-05	94.1	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
18196-14_R2	2	6.5	Herpes_POLcore	0.000119	100	48 / 51	1	NC_006146.1|Macacine herpesvirus 4, complete genome	taxid:45455|Lymphocryptovirus macacinegamma4|Lymphocryptovirus|Gammaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-07	180199
1854-09_R2	7	0.18	NCLDV_ssuRiboReduc	0.000119	100	48 / 52	3	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
1854-09_R2	1	9.6	NCLDV_ssuRiboReduc	0.003	94.1	51 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
19434-15_R1	1	1	NCLDV_ssuRiboReduc	0.002	94.1	51 / 51	1	NC_030656.1|Pteropox virus strain Australia, complete genome	taxid:1873698|Pteropopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
19520-06_R1	2	0.12	Herpes_POLcore	0.003	87.5	48 / 51	2	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
21925-14_R1	1	7.5	Herpes_POLcore	0.007	87.5	48 / 51	1	NC_003401.1|Macacine herpesvirus 5, genome	taxid:154334|Rhadinovirus macacinegamma5|Rhadinovirus|Gammaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-07	180199
21925-14_R2	2	1.1	NCLDV_ssuRiboReduc	0.005	87.5	48 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
21925-14_R2	1	4.5	NCLDV_ssuRiboReduc	0.014	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
22968-15_R1	1	0.23	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
24487-11_R2	1	5.5	NCLDV_ssuRiboReduc	0.05	93.3	45 / 51	1	NC_019495.1|Cyprinid herpesvirus 2 strain ST-J1, complete genome	taxid:317878|Cyvirus cyprinidallo2|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-08	180199
25068-17_R2	1	0.72	NCLDV_ssuRiboReduc	0.003	87.5	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
28679-13_R1	1	1.1	NCLDV_ssuRiboReduc	0.003	88.2	51 / 51	1	NC_077221.1|Prymnesium kappa virus genome assembly, chromosome: 1	taxid:1499987|Biavirus raunefjordenense|Biavirus|Schizomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
28679-13_R1	1	5.6	NCLDV_ssuRiboReduc	0.002	81.2	48 / 51	1	NC_027778.1|Scale drop disease virus isolate C4575, partial genome	taxid:1697349|Megalocytivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
28679-13_R2	5	0.42	NCLDV_ssuRiboReduc	0.000802	93.8	48 / 51	3	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
28800-14_R1	1	0.17	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
29548-16_R2	2	0.19	NCLDV_ssuRiboReduc	3.35e-05	100	51 / 54	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
29964-13_R2	1	0.68	NCLDV_ssuRiboReduc	0.002	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
29994-14_R1	1	4.6	NCLDV_ssuRiboReduc	0.005	88.2	51 / 51	1	NC_030656.1|Pteropox virus strain Australia, complete genome	taxid:1873698|Pteropopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
29994-14_R2	2	0.26	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
30022-14_R2	2	0.78	NCLDV_ssuRiboReduc	0.002	87.5	48 / 51	2	NC_013668.3|Anguillid herpesvirus 1, complete genome	taxid:150286|Cyvirus anguillidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-07	180199
4034-12_R1	2	3.5	NCLDV_ssuRiboReduc	2.44e-05	100	48 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
4034-12_R1	1	6.4	NCLDV_ssuRiboReduc	0.002	81.2	48 / 51	1	NC_027778.1|Scale drop disease virus isolate C4575, partial genome	taxid:1697349|Megalocytivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
4034-12_R2	2	1.2	NCLDV_ssuRiboReduc	0.000759	100	51 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
4552-16_R2	2	3.9	NCLDV_ssuRiboReduc	0.4	81.2	48 / 51	1	NC_004105.1|Ectromelia virus, complete genome	taxid:12643|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
4771-14_R2	1	4.2	NCLDV_ssuRiboReduc	0.001	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
4995-18_R2	4	0.19	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
501-15_R2	1	0.25	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
501-15_R2	2	2.5	NCLDV_ssuRiboReduc	0.036	93.3	45 / 51	1	NC_003494.1|Infectious spleen and kidney necrosis virus, complete genome	taxid:180170|Megalocytivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
5045-17_R2	1	0.7	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
5728-14_R1	1	4.3	Herpes_POLcore	0.036	76.5	51 / 51	1	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
5728-14_R2	3	0.61	NCLDV_ssuRiboReduc	0.004	87.5	48 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
5728-14_R2	1	1.5	NCLDV_ssuRiboReduc	0.000225	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
6071-18_R2	1	0.78	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
6745-15_R2	1	5.2	NCLDV_ssuRiboReduc	0.004	87.5	48 / 51	1	NC_021249.1|Choristoneura rosaceana entomopoxvirus 'L', complete genome	taxid:1293539|Choristoneura rosaceana entomopoxvirus|Betaentomopoxvirus|Entomopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
7140-13_R2	2	0.73	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180199
7958-09_R1	1	8	NCLDV_ssuRiboReduc	0.004	88.2	51 / 51	1	NC_001266.1|Rabbit fibroma virus, complete genome	taxid:10271|Leporipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
8593-14_R2	2	3.4	NCLDV_ssuRiboReduc	0.019	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
8876-15_R2	1	4.5	NCLDV_ssuRiboReduc	0.000584	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
906-15_R2	1	0.63	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180199
13608-I06_S3_R2_001	2	0.21	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180219
16218-I02_S7_R2_001	1	4.1	NCLDV_ssuRiboReduc	0.004	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180219
23111-I08_S20_R2_001	1	0.22	NCLDV_ssuRiboReduc	0.000119	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180219
32891-I08_S4_R2_001	2	0.55	NCLDV_ssuRiboReduc	0.036	86.7	45 / 51	1	NC_019491.1|Cyprinid herpesvirus 1 strain NG-J1, complete genome	taxid:317858|Cyvirus cyprinidallo1|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-07	180219
32891-I08_S4_R2_001	1	1.2	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180219
4141-I08_S5_R2_001	1	1	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180219
7264-I07_S6_R2_001	1	7	NCLDV_ssuRiboReduc	0.002	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180219
9838-I07_S11_R2_001	1	8.4	NCLDV_ssuRiboReduc	0.004	94.1	51 / 51	1	NC_003389.1|Swinepox virus, complete genome	taxid:10276|Suipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-07	180219
17700_16_C2_R2_001	1	6.2	NCLDV_ssuRiboReduc	0.007	82.4	51 / 51	1	NC_027778.1|Scale drop disease virus isolate C4575, partial genome	taxid:1697349|Megalocytivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180220
22_21450_13_C15_R2_001	5	1.1	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180220
2369_10_C8_R1_001	1	2.9	NCLDV_ssuRiboReduc	0.000225	94.1	51 / 51	1	NC_077221.1|Prymnesium kappa virus genome assembly, chromosome: 1	taxid:1499987|Biavirus raunefjordenense|Biavirus|Schizomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180220
2369_10_C8_R1_001	1	3	NCLDV_ssuRiboReduc	0.005	100	48 / 51	1	NC_028108.1|Yellowstone lake phycodnavirus 3 DNA, complete genome, isolate: 3	taxid:1586715|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180220
29471_15_C3_R2_001	1	2.9	NCLDV_ssuRiboReduc	0.000584	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180220
41697_10_C10_R2_001	2	2.8	NCLDV_ssuRiboReduc	0.003	88.2	51 / 51	1	NC_001266.1|Rabbit fibroma virus, complete genome	taxid:10271|Leporipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180220
41697_10_C10_R2_001	1	3.8	NCLDV_ssuRiboReduc	0.000225	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180220
41998_09_C65_R1_001	1	0.16	Herpes_POLcore	0.002	82.4	51 / 51	1	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	180220
8522_05_C12_R2_001	2	5	Herpes_POLcore	0.094	81.2	48 / 51	1	NC_000898.1|Human herpesvirus 6B, complete genome	taxid:32604|Roseolovirus humanbeta6b|Roseolovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-08	180220
17700_16_C2_R2_001	1	6.2	NCLDV_ssuRiboReduc	0.007	82.4	51 / 51	1	NC_027778.1|Scale drop disease virus isolate C4575, partial genome	taxid:1697349|Megalocytivirus|Alphairidovirinae|Iridoviridae|Pimascovirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	190130
22_21450_13_C15_R2_001	5	1.1	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	190130
2369_10_C8_R1_001	1	2.9	NCLDV_ssuRiboReduc	0.000225	94.1	51 / 51	1	NC_077221.1|Prymnesium kappa virus genome assembly, chromosome: 1	taxid:1499987|Biavirus raunefjordenense|Biavirus|Schizomimiviridae|Imitervirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	190130
2369_10_C8_R1_001	1	3	NCLDV_ssuRiboReduc	0.005	100	48 / 51	1	NC_028108.1|Yellowstone lake phycodnavirus 3 DNA, complete genome, isolate: 3	taxid:1586715|Prasinovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	190130
29471_15_C3_R2_001	1	2.9	NCLDV_ssuRiboReduc	0.000584	93.8	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	190130
41697_10_C10_R2_001	2	2.8	NCLDV_ssuRiboReduc	0.003	88.2	51 / 51	1	NC_001266.1|Rabbit fibroma virus, complete genome	taxid:10271|Leporipoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	190130
41697_10_C10_R2_001	1	3.8	NCLDV_ssuRiboReduc	0.000225	100	48 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-08	190130
41998_09_C65_R1_001	1	0.16	Herpes_POLcore	0.002	82.4	51 / 51	1	FN429076.1|Emiliania huxleyi virus 99B1 draft genome sequence	taxid:187397|Coccolithovirus|Phycodnaviridae|Algavirales|Megaviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	190130
8522_05_C12_R2_001	2	5	Herpes_POLcore	0.094	81.2	48 / 51	1	NC_000898.1|Human herpesvirus 6B, complete genome	taxid:32604|Roseolovirus humanbeta6b|Roseolovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	190130
HAN10_S11_R1_001	2	1.1	Herpes_UL6	2.44e-05	100	48 / 51	1	NC_004065.1|Murid herpesvirus 1, complete genome	taxid:10366|Muromegalovirus muridbeta1|Muromegalovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	200055
HAN10_S11_R2_001	1	2	NCLDV_ssuRiboReduc	0.001	100	48 / 51	1	NC_021248.1|Choristoneura biennis entomopoxvirus 'L', complete genome	taxid:10288|Betaentomopoxvirus|Entomopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
HAN10_S11_R2_001	2	2.2	NCLDV_ssuRiboReduc	0.000584	93.8	48 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
HAN11_S12_R1_001	2	0.66	NCLDV_ssuRiboReduc	0.004	87.5	48 / 51	1	NC_035797.1|Squirrelpox virus Berlin_2015, complete genome	taxid:2029293|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
HAN14_S15_R2_001	1	9.1	NCLDV_ssuRiboReduc	0.068	87.5	48 / 51	1	NC_009127.1|Cyprinid herpesvirus 3, complete genome	taxid:180230|Cyvirus cyprinidallo3|Cyvirus|Alloherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	200055
HAN2_S28_R2_001	1	0.25	NCLDV_ssuRiboReduc	8.68e-05	94.1	51 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
HAN4_S30_R2_001	4	2.1	NCLDV_ssuRiboReduc	0.000225	100	48 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
HAN8_S9_R2_001	1	2.2	NCLDV_ssuRiboReduc	0.000802	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-09	200055
HAN9_S10_R1_001	2	7	Herpes_POLcore	0.87	80	45 / 51	1	NC_006151.1|Suid herpesvirus 1, complete genome	taxid:10345|Varicellovirus suidalpha1|Varicellovirus|Alphaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	200055
M11_S7_R2_001	4	1	NCLDV_ssuRiboReduc	0.002	100	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200055
M12_S8_R2_001	3	0.35	NCLDV_ssuRiboReduc	0.000225	100	48 / 51	2	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:10245|Orthopoxvirus|Chordopoxvirinae|Poxviridae|Chitovirales|Pokkesviricetes|Nucleocytoviricota|Bamfordvirae|Varidnaviria	2024-06-10	200055
M15_S11_R2_001	1	9.6	NCLDV_ssuRiboReduc	0.001	93.3	45 / 51	1	DQ377945.1|Vaccinia virus strain 3737, complete genome	taxid:	2024-06-10	200055
M16_S12_R2_001	3	0.14	Herpes_POLcore	0.001	93.8	48 / 51	1	NC_000898.1|Human herpesvirus 6B, complete genome	taxid:32604|Roseolovirus humanbeta6b|Roseolovirus|Betaherpesvirinae|Orthoherpesviridae|Herpesvirales|Herviviricetes|Peploviricota|Heunggongvirae|Duplodnaviria	2024-06-09	200055
