sequence_id	seq_length	orf_start	orf_end	analysis	signature_accession	signature_description	start	end	e-value	interpro_accession	interpro_description	accession
SRR14579882_cap3_Contig-1	1378	19686	23819	Pfam	PF01600	Coronavirus spike glycoprotein S1	223	636	1.6E-135	IPR002551	Spike glycoprotein S1, coronavirus	orf3245
SRR14579882_cap3_Contig-1	1378	19686	23819	Gene3D	G3DSA:2.60.40.3130	-	490	645	7.1E-35	-	-	orf3245
SRR14579882_cap3_Contig-1	1378	19686	23819	SUPERFAMILY	SSF111474	Coronavirus S2 glycoprotein	1200	1312	6.11E-18	IPR043473	Spike glycoprotein S2 superfamily, coronavirus	orf3245
SRR14579882_cap3_Contig-1	1378	19686	23819	SUPERFAMILY	SSF111474	Coronavirus S2 glycoprotein	1002	1119	7.03E-43	IPR043473	Spike glycoprotein S2 superfamily, coronavirus	orf3245
SRR14579882_cap3_Contig-1	1378	19686	23819	Pfam	PF19214	Coronavirus spike glycoprotein S2, intravirion	1343	1378	9.4E-7	IPR043614	Spike glycoprotein S2, coronavirus, C-terminal	orf3245
SRR19431078_cap3_Contig-1	2116	6286	12633	ProSiteProfiles	PS51590	Mononegavirus L protein 2'-O-ribose methyltransferase domain profile.	1674	1871	25.70207	IPR025786	Mononegavirus L protein 2-O-ribose methyltransferase	orf2257
SRR19431078_cap3_Contig-1	2116	6286	12633	TIGRFAM	TIGR04198	paramyx_RNAcap: mRNA capping enzyme	1192	2003	5.1E-142	IPR039736	RNA-directed RNA polymerase L, C-terminal	orf2257
SRR19431078_cap3_Contig-1	2116	6286	12633	ProSiteProfiles	PS50526	RdRp of negative ssRNA viruses with non-segmented genomes catalytic domain profile.	611	797	52.598282	IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain	orf2257
SRR19431078_cap3_Contig-1	2116	6286	12633	Pfam	PF14318	Mononegavirales mRNA-capping region V	1097	1324	7.3E-54	IPR026890	Mononegavirales mRNA-capping domain V	orf2257
SRR19431078_cap3_Contig-1	2116	6286	12633	Pfam	PF14314	Virus-capping methyltransferase	1365	2034	4.7E-159	IPR039530	RNA-directed RNA polymerase L methyltransferase domain, rhabdovirus	orf2257
SRR19431078_cap3_Contig-1	2116	6286	12633	Pfam	PF00946	Mononegavirales RNA dependent RNA polymerase	54	1081	1.3E-237	IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain	orf2257
SRR17345014_cap3_Contig-1	3783	3	11351	ProSiteProfiles	PS51218	Superfamily 3 helicase of positive ssRNA viruses domain profile.	638	805	17.723562	IPR014759	Helicase, superfamily 3, single-stranded RNA virus	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	MobiDBLite	mobidb-lite	consensus disorder prediction	1173	1196	-	-	-	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	MobiDBLite	mobidb-lite	consensus disorder prediction	3505	3547	-	-	-	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	MobiDBLite	mobidb-lite	consensus disorder prediction	3505	3537	-	-	-	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	CDD	cd00205	rhv_like	3320	3486	5.29377E-12	IPR033703	Picornavirus/Calicivirus coat protein	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	CDD	cd23169	ps-ssRNAv-Picornavirales	2640	2909	3.48676E-67	-	-	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	Gene3D	G3DSA:3.30.70.270	-	2759	2889	2.8E-24	IPR043128	Reverse transcriptase/Diguanylate cyclase domain	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	MobiDBLite	mobidb-lite	consensus disorder prediction	1304	1341	-	-	-	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	Gene3D	G3DSA:2.60.120.20	-	3270	3493	1.4E-28	IPR029053	Viral coat protein subunit	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	SUPERFAMILY	SSF88633	Positive stranded ssRNA viruses	3003	3222	1.21E-7	-	-	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	MobiDBLite	mobidb-lite	consensus disorder prediction	1154	1211	-	-	-	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	Gene3D	G3DSA:2.60.120.20	-	3041	3220	3.7E-15	IPR029053	Viral coat protein subunit	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	Pfam	PF00910	RNA helicase	661	746	6.4E-7	IPR000605	Helicase, superfamily 3, single-stranded DNA/RNA virus	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	ProSiteProfiles	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	2715	2839	8.955615	IPR007094	RNA-directed RNA polymerase,  catalytic domain	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	SUPERFAMILY	SSF88633	Positive stranded ssRNA viruses	3254	3499	3.33E-20	-	-	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	Gene3D	G3DSA:2.40.10.10	-	2312	2406	1.9E-5	IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	SUPERFAMILY	SSF56672	DNA/RNA polymerases	2462	2916	2.03E-69	IPR043502	DNA/RNA polymerase superfamily	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	SUPERFAMILY	SSF50494	Trypsin-like serine proteases	2237	2424	5.58E-7	IPR009003	Peptidase S1, PA clan	orf1049
SRR17345014_cap3_Contig-1	3783	3	11351	Pfam	PF00680	Viral RNA-dependent RNA polymerase	2492	2915	2.6E-35	IPR001205	RNA-directed RNA polymerase,  C-terminal domain	orf1049
SRR12430148_cap3_Contig-1	509	925	2451	MobiDBLite	mobidb-lite	consensus disorder prediction	87	101	-	-	-	orf1731
SRR12430148_cap3_Contig-1	509	925	2451	Pfam	PF03210	Paramyxovirus P/V phosphoprotein C-terminal	328	461	7.3E-20	IPR004897	P/V phosphoprotein, paramyxoviral	orf1731
SRR12430148_cap3_Contig-1	509	925	2451	MobiDBLite	mobidb-lite	consensus disorder prediction	47	76	-	-	-	orf1731
SRR12430148_cap3_Contig-1	509	925	2451	MobiDBLite	mobidb-lite	consensus disorder prediction	37	169	-	-	-	orf1731
SRR12430148_cap3_Contig-1	509	925	2451	Gene3D	G3DSA:1.20.5.110	-	312	384	1.2E-19	-	-	orf1731
SRR12430148_cap3_Contig-1	509	925	2451	MobiDBLite	mobidb-lite	consensus disorder prediction	117	132	-	-	-	orf1731
SRR12430148_cap3_Contig-1	509	925	2451	MobiDBLite	mobidb-lite	consensus disorder prediction	133	169	-	-	-	orf1731
SRR17345012_cap3_Contig-13	151	1885	2337	MobiDBLite	mobidb-lite	consensus disorder prediction	1	26	-	-	-	orf676
SRR18700679_cap3_Contig-1	1463	7587	11975	ProSiteProfiles	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	392	526	10.120584	IPR007094	RNA-directed RNA polymerase,  catalytic domain	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	CDD	cd18786	SF1_C	957	1018	2.32664E-22	-	-	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	SUPERFAMILY	SSF142877	EndoU-like	1185	1308	8.24E-38	IPR037227	Endoribonuclease EndoU-like	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	CDD	cd21410	1B_av_Nsp10-like	723	771	1.05299E-18	IPR044348	Nonstructural protein 10, 1B domain, arterivirus	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	Pfam	PF01443	Viral (Superfamily 1) RNA helicase	795	1017	3.5E-11	IPR027351	(+) RNA virus helicase core domain	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	789	908	1.53E-5	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	CDD	cd21166	NTD_av_Nsp11-like	1090	1192	1.05552E-52	IPR044320	NSP11, N-terminal, arterivirus	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	Gene3D	G3DSA:3.40.50.300	-	788	916	4.3E-8	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	Gene3D	G3DSA:3.40.50.300	-	919	1029	9.2E-6	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	ProSiteProfiles	PS51958	Nidoviral uridylate-specific endoribonuclease (NendoU) domain profile.	1185	1307	43.621914	IPR043609	NendoU domain, nidovirus	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	CDD	cd23189	Arteriviridae_RdRp	320	642	0.0	-	-	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	Pfam	PF19215	Coronavirus replicase NSP15, uridylate-specific endoribonuclease	1214	1302	7.2E-8	IPR043609	NendoU domain, nidovirus	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	ProSiteProfiles	PS51961	Arterivirus Nsp11 N-terminal/coronavirus NSP15 middle (AV-Nsp11N/CoV-Nsp15M) domain profile.	1087	1183	18.428862	IPR046440	Arterivirus Nsp11 N-terminal/Coronavirus NSP15 middle domain	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	CDD	cd21160	NendoU_av_Nsp11-like	1190	1308	5.16825E-78	IPR044314	NSP11, NendoU domain, arterivirus	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	ProSiteProfiles	PS51947	Nidovirus RdRp-associated nucleotidyl transferase (NiRAN) domain profile.	1	153	15.776436	IPR044863	Nidovirus  RdRp-associated nucleotidyl transferase (NiRAN) domain	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	ProSiteProfiles	PS51652	Arteriviridae zinc-binding (AV ZBD) domain profile.	647	710	20.938347	IPR027355	Nonstructural protein 10, zinc-binding domain, arterivirus	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	CDD	cd21405	ZBD_av_Nsp10-like	651	711	3.09362E-31	IPR027355	Nonstructural protein 10, zinc-binding domain, arterivirus	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	Pfam	PF00680	Viral RNA-dependent RNA polymerase	212	619	5.6E-38	IPR001205	RNA-directed RNA polymerase,  C-terminal domain	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	884	1024	8.71E-14	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	ProSiteProfiles	PS51657	(+)RNA virus helicase core domain profile.	767	1048	46.424141	IPR027351	(+) RNA virus helicase core domain	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	SUPERFAMILY	SSF56672	DNA/RNA polymerases	187	638	1.9E-50	IPR043502	DNA/RNA polymerase superfamily	orf2627
SRR18700679_cap3_Contig-1	1463	7587	11975	CDD	cd17937	DEXXYc_viral_SF1-N	788	923	3.11865E-71	-	-	orf2627
SRR13364364_cap3_Contig-2	1189	3	3569	Pfam	PF05788	Orbivirus RNA-dependent RNA polymerase (VP1)	29	779	2.6E-44	IPR008723	RNA-dependent RNA polymerase, orbiviral	orf25
SRR13364364_cap3_Contig-2	1189	3	3569	SUPERFAMILY	SSF56672	DNA/RNA polymerases	358	720	8.9E-6	IPR043502	DNA/RNA polymerase superfamily	orf25
SRR17345012_cap3_Contig-6	130	4969	5358	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	-	-	orf368
SRR17345012_cap3_Contig-6	130	4969	5358	MobiDBLite	mobidb-lite	consensus disorder prediction	1	52	-	-	-	orf368
SRR17345012_cap3_Contig-6	130	4969	5358	MobiDBLite	mobidb-lite	consensus disorder prediction	65	130	-	-	-	orf368
SRR17345012_cap3_Contig-13	564	2356	4047	SUPERFAMILY	SSF56672	DNA/RNA polymerases	297	374	1.19E-6	IPR043502	DNA/RNA polymerase superfamily	orf638
SRR17345012_cap3_Contig-13	564	2356	4047	Pfam	PF03431	RNA replicase, beta-chain	175	415	1.2E-28	IPR005093	RNA-directed RNA polymerase beta-chain	orf638
SRR17345012_cap3_Contig-13	564	2356	4047	ProSiteProfiles	PS50522	RdRp of RNA-containing bacteriophages catalytic domain profile.	246	381	16.712313	IPR007096	RNA-directed RNA polymerase, catalytic domain,  bacteriophage	orf638
SRR13364364_cap3_Contig-12	35	425	529	MobiDBLite	mobidb-lite	consensus disorder prediction	1	28	-	-	-	orf102
SRR13364364_cap3_Contig-12	35	425	529	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	-	-	orf102
SRR16151768_cap3_Contig-1	213	2747	3385	Pfam	PF06436	Pneumovirus matrix protein 2 (M2)	48	204	4.7E-85	IPR009452	Pneumovirus matrix 2-1	orf745
SRR16151768_cap3_Contig-1	213	2747	3385	Gene3D	G3DSA:1.20.120.1350	-	15	193	1.0E-93	-	-	orf745
SRR16151768_cap3_Contig-1	213	2747	3385	SUPERFAMILY	SSF90229	CCCH zinc finger	23	45	3.27E-5	IPR036855	Zinc finger, CCCH-type superfamily	orf745
SRR16151768_cap3_Contig-1	213	2747	3385	FunFam	G3DSA:1.20.120.1350:FF:000001	Matrix M2-1	15	193	6.9E-124	-	-	orf745
SRR16151768_cap3_Contig-1	213	2747	3385	ProSiteProfiles	PS50103	Zinc finger C3H1-type profile.	20	47	12.708712	IPR000571	Zinc finger, CCCH-type	orf745
SRR16151768_cap3_Contig-1	213	2747	3385	SMART	SM00356	c3hfinal6	21	46	0.0045	IPR000571	Zinc finger, CCCH-type	orf745
SRR17345013_cap3_Contig-21	571	2521	4233	Pfam	PF03431	RNA replicase, beta-chain	203	421	1.0E-33	IPR005093	RNA-directed RNA polymerase beta-chain	orf1288
SRR17345013_cap3_Contig-21	571	2521	4233	ProSiteProfiles	PS50522	RdRp of RNA-containing bacteriophages catalytic domain profile.	265	401	17.353159	IPR007096	RNA-directed RNA polymerase, catalytic domain,  bacteriophage	orf1288
SRR17345013_cap3_Contig-21	571	2521	4233	SUPERFAMILY	SSF56672	DNA/RNA polymerases	128	412	1.63E-5	IPR043502	DNA/RNA polymerase superfamily	orf1288
SRR17345012_cap3_Contig-6	1660	3	4982	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	1013	1158	3.45E-5	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	Pfam	PF12526	Protein of unknown function (DUF3729)	643	752	2.3E-40	IPR022202	Hepatitis E virus, hinge domain	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	Pfam	PF00978	RNA dependent RNA polymerase	1336	1635	1.3E-22	IPR001788	RNA-dependent RNA polymerase, C-terminal, virus	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	SMART	SM00506	YBR022w_8	754	869	3.2E-23	IPR002589	Macro domain	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	Pfam	PF01660	Viral methyltransferase	2	336	5.3E-40	IPR002588	Alphavirus-like methyltransferase (MT) domain	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	ProSiteProfiles	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	1421	1532	12.346504	IPR007094	RNA-directed RNA polymerase,  catalytic domain	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	ProSiteProfiles	PS51657	(+)RNA virus helicase core domain profile.	901	1183	50.661022	IPR027351	(+) RNA virus helicase core domain	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	941	1062	2.66E-7	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	CDD	cd23259	Hepeviridae_RdRp	1279	1552	0.0	-	-	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	Pfam	PF05417	Hepatitis E cysteine protease	389	548	4.7E-76	IPR008748	Hepatitis E virus, cysteine peptidase	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	SUPERFAMILY	SSF52949	Macro domain-like	744	875	5.72E-22	IPR043472	Macro domain-like	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	ProSiteProfiles	PS51743	Alphavirus-like methyltransferase (MT) domain profile.	13	197	28.268564	IPR002588	Alphavirus-like methyltransferase (MT) domain	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	Gene3D	G3DSA:3.40.50.300	-	934	1036	3.2E-6	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	Gene3D	G3DSA:3.40.220.10	Leucine Aminopeptidase, subunit E, domain 1	753	874	2.3E-11	IPR043472	Macro domain-like	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	FunFam	G3DSA:3.40.50.300:FF:001668	Non-structural polyprotein pORF1	928	1039	7.8E-42	-	-	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	Pfam	PF01443	Viral (Superfamily 1) RNA helicase	941	1151	3.1E-35	IPR027351	(+) RNA virus helicase core domain	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	MobiDBLite	mobidb-lite	consensus disorder prediction	708	746	-	-	-	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	CDD	cd21557	Macro_X_Nsp3-like	767	877	2.11571E-29	IPR044371	Non-structural protein 3, X-domain-like	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	SUPERFAMILY	SSF56672	DNA/RNA polymerases	1271	1612	3.86E-35	IPR043502	DNA/RNA polymerase superfamily	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	Gene3D	G3DSA:3.40.50.300	-	1050	1169	6.7E-17	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	ProSiteProfiles	PS51154	Macro domain profile.	742	888	12.529775	IPR002589	Macro domain	orf336
SRR17345012_cap3_Contig-6	1660	3	4982	CDD	cd18809	SF1_C_RecD	1104	1150	1.80324E-6	-	-	orf336
SRR12430148_cap3_Contig-1	2214	10967	17608	Pfam	PF12803	mRNA (guanine-7-)methyltransferase (G-7-MTase)	1513	1822	2.9E-74	IPR024352	RNA-dependent RNA polymerase L methyltransferase domain, paramyxovirus	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	Coils	Coil	Coil	61	81	-	-	-	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	ProSiteProfiles	PS51590	Mononegavirus L protein 2'-O-ribose methyltransferase domain profile.	1774	1981	37.847412	IPR025786	Mononegavirus L protein 2-O-ribose methyltransferase	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	Pfam	PF14318	Mononegavirales mRNA-capping region V	1151	1394	1.3E-77	IPR026890	Mononegavirales mRNA-capping domain V	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	Pfam	PF00946	Mononegavirales RNA dependent RNA polymerase	28	1135	0.0	IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	ProSiteProfiles	PS50526	RdRp of negative ssRNA viruses with non-segmented genomes catalytic domain profile.	675	859	66.800423	IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	TIGRFAM	TIGR04198	paramyx_RNAcap: mRNA capping enzyme	1253	2205	4.2E-197	IPR039736	RNA-directed RNA polymerase L, C-terminal	orf1849
SRR16151768_cap3_Contig-1	580	841	2580	Gene3D	G3DSA:6.20.370.50	-	32	50	4.9E-14	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	FunFam	G3DSA:1.10.287.2480:FF:000002	Fusion glycoprotein F0	122	246	1.7E-78	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Coils	Coil	Coil	82	116	-	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	FunFam	G3DSA:1.10.287.2480:FF:000001	Fusion glycoprotein F0	397	523	1.1E-83	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Pfam	PF00523	Fusion glycoprotein F0	36	547	2.7E-147	IPR000776	Precursor fusion glycoprotein F0, Paramyxoviridae	orf735
SRR16151768_cap3_Contig-1	580	841	2580	SUPERFAMILY	SSF58069	Virus ectodomain	419	524	9.23E-29	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	SUPERFAMILY	SSF58069	Virus ectodomain	95	239	2.48E-35	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Gene3D	G3DSA:6.10.250.1160	-	72	115	4.0E-29	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Gene3D	G3DSA:1.10.287.2480	-	126	246	5.0E-36	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Gene3D	G3DSA:1.10.287.2480	-	399	523	5.6E-35	-	-	orf735
SRR18700679_cap3_Contig-1	214	13811	14452	Pfam	PF00951	Arterivirus GL envelope glycoprotein	42	211	6.3E-74	IPR001332	Arterivirus GP5 envelope glycoprotein	orf2661
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	2379	2679	4.0E-136	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	PANTHER	PTHR43788	DNA2/NAM7 HELICASE FAMILY MEMBER	1199	1512	1.8E-30	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	SUPERFAMILY	SSF142877	EndoU-like	2223	2374	6.47E-60	IPR037227	Endoribonuclease EndoU-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21723	alphaCoV_Nsp13-helicase	1176	1515	0.0	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21161	NendoU_cv_Nsp15-like	2226	2377	1.78956E-85	IPR044401	NSP15, NendoU domain, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	SUPERFAMILY	SSF56672	DNA/RNA polymerases	459	916	1.68E-50	IPR043502	DNA/RNA polymerase superfamily	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd20762	capping_2-OMTase_Nidovirales	2421	2613	3.37339E-52	IPR009461	Non-structural protein NSP16, coronavirus-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF06471	Coronavirus proofreading exoribonuclease	1526	2035	6.1E-265	IPR009466	Non-structural protein 14, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF19215	Coronavirus replicase NSP15, uridylate-specific endoribonuclease	2224	2377	1.1E-67	IPR043609	NendoU domain, nidovirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF19216	Coronavirus replicase NSP15, middle domain	2102	2217	4.5E-49	IPR043608	Nonstructural protein 15, middle domain, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21171	NTD_alpha_betaCoV_Nsp15-like	2041	2101	9.86906E-39	IPR044330	Nonstructural protein 15, N-terminal domain, alpha/beta-coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51657	(+)RNA virus helicase core domain profile.	1173	1532	25.651554	IPR027351	(+) RNA virus helicase core domain	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51960	Coronavirus (CoV) Nsp15 N-terminal oligomerization domain profile.	2041	2101	31.37244	IPR043606	Coronavirus replicase NSP15, N-terminal oligomerization	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.40.50.11580	-	2104	2221	6.1E-47	IPR043174	Non-structural protein NSP15, middle domain superfamily	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21409	1B_cv_Nsp13-like	1074	1153	1.51318E-47	IPR044343	Nonstructural protein 13, 1B domain, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF00680	Viral RNA-dependent RNA polymerase	527	763	1.8E-10	IPR001205	RNA-directed RNA polymerase,  C-terminal domain	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21660	alphaCoV_Nsp14	1527	2036	0.0	IPR044313	Nonstructural protein 14, alphacoronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21588	alphaCoV_RdRp	4	924	0.0	IPR044356	RNA-dependent RNA polymerase, alphacoronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF06460	Coronavirus 2'-O-methyltransferase	2380	2678	2.0E-160	IPR009461	Non-structural protein NSP16, coronavirus-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF06478	Coronavirus RNA-dependent RNA polymerase, N-terminal	10	358	9.2E-182	IPR009469	RNA polymerase, N-terminal, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.30.160.820	-	2039	2103	3.6E-30	IPR042515	Non-structural protein NSP15,  N-terminal domain superfamily, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51953	Nidovirus 3'-5' exoribonuclease (ExoN) domain profile.	1594	1808	60.623867	IPR046436	Nidovirus 3'-5' exoribonuclease domain	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21689	stalk_CoV_Nsp13-like	1023	1070	4.79038E-29	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.40.50.300	-	1367	1526	3.0E-16	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51653	Coronaviridae zinc-binding (CV ZBD) domain profile.	925	1008	34.386169	IPR027352	Nonstructural protein 13, zinc-binding domain, coronavirus-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51948	Coronavirus Nsp12 RNA-dependent RNA polymerase (RdRp) domain profile.	357	924	313.959961	IPR046441	NSP12 RNA-dependent RNA polymerase, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.40.50.300	-	1154	1340	7.6E-18	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	FunFam	G3DSA:3.40.50.300:FF:001105	Orf1ab polyprotein	1367	1525	7.7E-86	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21401	ZBD_cv_Nsp13-like	925	1019	2.84894E-57	IPR027352	Nonstructural protein 13, zinc-binding domain, coronavirus-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF19219	Coronavirus replicase NSP15, N-terminal oligomerisation	2041	2101	2.0E-31	IPR043606	Coronavirus replicase NSP15, N-terminal oligomerization	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51955	Nidovirus 2'-O-methyltransferase (2'-O-MTase) domain profile.	2380	2676	120.569244	IPR046438	Nidovirus 2-O-methyltransferase	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51961	Arterivirus Nsp11 N-terminal/coronavirus NSP15 middle (AV-Nsp11N/CoV-Nsp15M) domain profile.	2102	2219	43.404602	IPR046440	Arterivirus Nsp11 N-terminal/Coronavirus NSP15 middle domain	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF13087	AAA domain	1359	1500	7.9E-8	IPR041679	DNA2/NAM7 helicase-like, C-terminal	orf3211
